"Speaker","Text","Page","speaker_id"
"REGIE","Die    drei   ???    -  GPS-Gangster             (168)","1","0"
"REGIE","- Hörspielskript von ikarus  -","1","0"
"REGIE","1. Prinzessin","1","0"
"REGIE","Vogelgezwitscher, Schritte, die drei Detektive keuchen vor Anstrengung","1","0"
"Bob","Wie weit... Wie weit ist es noch?","1","4"
"Justus","112 Meter.","1","2"
"Bob","(stöhnt)","1","4"
"Peter","Noch etwa... Noch etwas mehr als 2 Minuten, das schaffen wir nie!","1","3"
"Justus","Wir müssen es schaffen, Kollegen! Nur wir können sie noch retten!","1","2"
"Bob","He, wartet doch mal, wartet doch mal! Bleibt doch mal stehen.","1","4"
"Peter","Hä?","1","3"
"Bob","Bleibt stehen!","1","4"
"Peter","Was hast du denn, Bob?","1","3"
"Bob","Hört ihr? Ganz in der Nähe muss ein... muss ein Wasserfall sein!","1","4"
"Justus","Ja, das GPS-Gerät zeigt an: 34 Grad 2,831 Minuten nördliche Breite, 118","1","2"
"Justus","Grad 35,186 Minuten westliche Länge. Und fehlen nur noch 0,004 Minuten","1","2"
"Justus","Richtung Osten - zirka 12 Meter.","1","2"
"Bob","Also, es kann nur da oben auf dem Felsen sein. Über die Höhe wissen wir ja","1","4"
"Bob","nichts.","1","4"
"Justus","Dann nichts wie rauf!","1","2"
"Peter","30 Sekunden, da schaffen wir nie!","1","3"
"REGIE","Klettergeräusche, Hintergrundmusik setzt ein und wird lauter","1","0"
"Bob","Sie muss hier irgendwo sein! Aber wo denn?","1","4"
"Peter","Moment - da! Die Prinzessin - da ist sie!","1","3"
"Bob","In einem Käfig... Über dem Teich!","1","4"
"Justus","Dort ist ein kleiner Kasten mit einer Digitalanzeige!","1","2"
"Bob","Die Zeit... Die Zeit läuft rückwärts! Vier... Drei...","1","4"
"Peter","Das schaff ich!","1","3"
"Justus","Ah, der... der Käfig gleitet ins Wasser!","1","2"
"REGIE","Ein metallisches Klicken, ein Seil rutscht über eine Kante, dann ein Platschen","2","0"
"REGIE","gefolgt von blubbernden Geräuschen","2","0"
"REGIE","Hörbare Enttäuschung bei den drei Detektiven","2","0"
"Bob","Tja, Ende Freunde. Ich würde sagen: Game Over.","2","4"
"REGIE","(seufzt)","2","0"
"Peter","Mann.","2","3"
"REGIE","(Zwischenmusik --- Szenenwechsel ---)","2","0"
"REGIE","(Klassische Musik, dann kommen Partygeräusche auf, Gesprächsfetzen)","2","0"
"REGIE","(Eine kurze Rückkopplung eines Mikrofones)","2","0"
"Benjamin Rodman","Liebe Crack-Tracks... Ähm, nein. Tack-Packs (allgemeines Gelächter) Crack-","2","1370"
"Benjamin Rodman","Packs...","2","1370"
"Bob","(im Hintergrund) Oh, oh, oh, da ist jemand aufgeregt.","2","4"
"Benjamin Rodman","Liebe Track-Cracker, Freunde und Feste - ähm, Gäste!","2","1370"
"Benjamin Rodman","?2             (flüstert) Ach, der Arme ist ja total nervös! Letztes Jahr hat die Ansprache","2","1370"
"Benjamin Rodman","noch sein Daddy, Samuel Rodman gehalten.","2","1370"
"Bob","(flüstert) Aha? Äh, Justus!","2","4"
"Justus","Hä?","2","2"
"Bob","Was macht dieser Rodman nochmal?","2","4"
"Justus","Wie bitte?","2","2"
"Bob","Rodman! Was der beruflich macht!","2","4"
"Justus","Wer?","2","2"
"Bob","Ach Justus, jetzt lass mal gut sein! Die Prinzessin konnte das Bad im Teich","2","4"
"Bob","verschmerzen, die war aus Plastik, ok?","2","4"
"Justus","Ach, da - das Rätsel, das ist es! Mist! Hätte ich das gleich gesehen, hätte ich","2","2"
"Justus","die Koordinaten viel schneller entschlüsselt und wir hätten es geschafft.","2","2"
"Bob","Na und?","2","4"
"Peter","Vielleicht hätten sie Valerie in den Käfig sperren sollen, dann hättest du","2","3"
"Peter","dich sicher viel mehr angestrengt.","2","3"
"Justus","I-ich kann dir nicht folgen, Zweiter!","2","2"
"Peter","Ich meine jenes bezaubernde, dunkelhaarige Mädchen dort drüben, mit","2","3"
"Peter","den grünen Augen. Sie saß neben dir, als uns Benjamin über Geocaching in-","2","3"
"Peter","formierte und den Wettbewerb erklärt hat. Ihr habt euch unterhalten.","2","3"
"REGIE","(Trommelwirbel)","2","0"
"Benjamin Rodman","Auf alle Fälle, die diesjährigen Sieger des Kennen lern-Wettbewerbs der","2","1370"
"Benjamin Rodman","Track-Cracker sind - tatam - die drei Fragezeichen!","2","1370"
"REGIE","(Jubel und Applaus)","3","0"
"Justus","Hä? Was?","3","2"
"Bob","Das gibt's nicht!","3","4"
"REGIE","(Freudiges Lachen der drei Detektive)","3","0"
"Benjamin Rodman","Justus Jonas, Peter Shaw und Bob Andrews, kommt bitte zu mir!","3","1370"
"Justus","Kommt Kollegen!","3","2"
"REGIE","(Die drei gehen auf die Bühne)","3","0"
"Benjamin Rodman","Gratuliere! Ihr habt in diesem Jahr die Rätsel mit Abstand am schnellsten","3","1370"
"Benjamin Rodman","gelöst. Zwar habt ihr nicht die Prinzessin retten können, aber ihr wart als","3","1370"
"Benjamin Rodman","Neulinge sogar schneller als unsere Track-Cracker Profis!","3","1370"
"REGIE","(Applaus und Jubel)","3","0"
"Benjamin Rodman","Wie habt ihr das nur geschafft?","3","1370"
"Justus","Tja, Benjamin, ähm... Wir haben... Wir waren schnell!","3","2"
"Benjamin Rodman","Aha? Und wie seid ihr auf uns aufmerksam geworden? Bob?","3","1370"
"Bob","Äh, naja, wir haben von eurem Wettbewerb in der Zeitung gelesen und","3","4"
"Bob","dann sind wir einfach neugierig geworden. Wir haben uns gesagt: hey, lasst","3","4"
"Bob","uns dieses Geocaching einfach mal ausprobieren.","3","4"
"Benjamin Rodman","Super! Und? Wie wär's, hättet ihr nicht Lust, zu uns zu stoßen? Zu den","3","1370"
"Benjamin Rodman","Track-Crackern? Peter?","3","1370"
"Peter","Äh... najaaa... ich meine... also... äh...","3","3"
"Benjamin Rodman","Nun, vielleicht erleichtert das hier ja eure Entscheidung: Hiermit verleihe","3","1370"
"Benjamin Rodman","ich jedem von euch die Track-Cracker-Nadel in Silber!","3","1370"
"REGIE","(Großer Jubel und Applaus, freudiges Lachen der drei ???)","3","0"
"Bob","Na, das ist ja toll!","3","4"
"Benjamin Rodman","Und das hier ist euer Preis!","3","1370"
"Bob","Oh, danke! Was ist es denn?","3","4"
"Benjamin Rodman","Na, mach es ruhig auf, Bob!","3","1370"
"Bob","Ok. (Papier raschelt) Oooh!","3","4"
"Peter","Wow!","3","3"
"Benjamin Rodman","Ein nagelneues GPS-Gerät!","3","1370"
"REGIE","(Applaus und Jubel)","3","0"
"Justus","Ein Treasure X-35, das Beste vom Besten!","3","2"
"Benjamin Rodman","Damit ist ab jetzt kein Schatz mehr sicher vor euch!","3","1370"
"Mrs. Rodman","Und das Buffet hoffentlich auch nicht! Die Tafel ist hiermit eröffnet!","3","-1"
"REGIE","(Freudiger Jubel, klassische Musik setzt im Hintergrund ein.)","4","0"
"Bob","Ja, das freut Justus.","4","4"
