"Speaker","Text","Page","speaker_id"
"REGIE","Die  drei  ???   und   die verschwundene         Seglerin","1","0"
"REGIE","- Hörspielskript von Scorpion King -","1","0"
"REGIE","*Eingangsmusik*","1","0"
"Erzähler","Justus Jonas wollte eigentlich nicht lauschen. Als er jedoch das Büro von","1","574"
"Erzähler","Onkel Titus betreten wollte, vernahm er lautstarke Stimmen und blieb vor der","1","574"
"Erzähler","angelehnten Tür stehen und horchte.","1","574"
"REGIE","*entfernte, erhitzte Stimmen*","1","0"
"Onkel Titus","Ihre Vorwürfe sind völlig haltlos, Mister Jefferson.","1","73"
"Justus","*flüsternd* Ha, das ist doch...das ist doch Onkel Titus.","1","2"
"Mister Jefferson","Hätte ich doch nur auf meine Mutter gehört, sie hat mich vor Betrügern","1","-1"
"Mister Jefferson","gewarnt.","1","-1"
"Onkel Titus","Ich muss Sie doch sehr bitten.","1","73"
"Mister Jefferson","Immer hat sie gesagt, dass ich zu gutmütig bin.","1","-1"
"Justus","Dieses Muttersöhnchen muss ich mir unbedingt aus der Nähe betrachten.","1","2"
"REGIE","*Schritte*","1","0"
"Justus","Onkel Titus! Oh!","1","2"
"Onkel Titus","Ich bin kein Betrüger!","1","73"
"Mister Jefferson","Haben Sie schon mal einen Betrüger gesehen, der zugibt, dass er einer ist?","1","-1"
"Justus","Ta- *räuspert sich* Tag! Gibt es Probleme?","1","2"
"Onkel Titus","Hier, mein Neffe Justus.","1","73"
"Justus","Mhm.","1","2"
"Onkel Titus","Das ist Mister Jefferson.","1","73"
"Mister Jefferson","Man hat mich getäuscht, junger Mann! Ich bin um 5000 Dollar betrogen","1","-1"
"Mister Jefferson","worden!","1","-1"
"Justus","Ist Mister Jefferson ein Kunde von dir, Onkel?","1","2"
"Mister Jefferson","Ganz recht, ein guter Kunde sogar. Jedenfalls bis heute. Aber ich schwöre","1","-1"
"Mister Jefferson","beim Leben meiner Mutter, dass ich das letzte Mal meinen Fuß auf das","1","-1"
"Mister Jefferson","Gelände dieser Firma gesetzt habe!","1","-1"
"Justus","Und warum, Mister Jefferson?","1","2"
"Mister Jefferson","Ich bin Künstler, junger Mann. Aber zugleich bin ich ein Mensch, für den","2","-1"
"Mister Jefferson","ausschließlich Tatsachen zählen, Fakten. Und Tatsache ist, dass ich vor","2","-1"
"Mister Jefferson","wenigen Wochen von diesem Herrn hier ein wertvolles Stück erworben habe,","2","-1"
"Mister Jefferson","für 5330 Dollar, nettes Sümmchen, nicht wahr?","2","-1"
"Onkel Titus","5230 Dollar.","2","73"
"Mister Jefferson","Lenken Sie doch nicht ab! Tatsache ist doch, dass mir dieser Preis abverlangt","2","-1"
"Mister Jefferson","wurde unter Vorlage eines Zertifikats! Ein Zertifikat, junger Mann, ist eine -","2","-1"
"Justus","Amtliche Bescheinigung über die Herkunft eines Kunstgegenstandes.","2","2"
"Mister Jefferson","Ganz recht! Für einen Spiegel, welchen ich erworben habe. Es besagt, es","2","-1"
"Mister Jefferson","handelt sich um ein Stück aus Venedig, 16. Jahrhundert, ein einzigartiges","2","-1"
"Mister Jefferson","Stück, eben ein Einzelstück.","2","-1"
"Justus","Seien Sie doch froh, dass mein Onkel Ihnen zu so einem wertvollen Stück","2","2"
"Justus","verhelfen konnte.","2","2"
"Onkel Titus","Ja.","2","73"
"Mister Jefferson","*aufbrausend* Ich bin keineswegs froh! Denn vorgestern bin ich diesem","2","-1"
"Mister Jefferson","prachtvollen Einzelstück noch einmal begegnet, in einer Galerie in Santa","2","-1"
"Mister Jefferson","Monica und diesmal war das gute Stück nicht aus dem 16. Jahrhundert,","2","-1"
"Mister Jefferson","sondern aus dem 19. und es stammte nicht aus Venedig, sondern aus Dallas,","2","-1"
"Mister Jefferson","Texas.","2","-1"
"Justus","Dann war es also kein Unikat.","2","2"
"Mister Jefferson","Ich hätte auf meine Mutter hören sollen, sonst wäre ich nicht das Opfer eines","2","-1"
"Mister Jefferson","schändlichen Betrügers geworden!","2","-1"
"Onkel Titus","*laut* Jetzt reicht es mir aber!","2","73"
"Mister Jefferson","*ebenfalls laut* Ich bleibe bei meiner Behauptung!","2","-1"
"Justus","Was fällt Ihnen eigentlich ein? Sie kommen hierher, beschuldigen meinen","2","2"
"Justus","Onkel des Betrugs und lassen ihn nicht einmal erklären, dass -","2","2"
"Mister Jefferson","Da gibt es nichts zu erklären!","2","-1"
"Justus","Moment, Moment! Ich schlage vor, dass Sie sich jetzt erst einmal anhören,","2","2"
"Justus","was mein Onkel zu dieser ganzen Sache zu sagen hat!","2","2"
