"Speaker","Text","Page","speaker_id"
"Mr Hanson","Liebhaber gemeint ist, werden sich die Leser des ""Washington-","39","-1"
"Mr Hanson","Globe-Magazin"" wie ein Schwarm Heuschrecken über meinen","39","-1"
"Mr Hanson","Artikel hermachen. Das wird der Knüller des Jahrhunderts!","39","-1"
"Justus","Dieses Foto hier fand ich in Mrs Summers Pressemappe. Die hat","39","2"
"Justus","sie uns förmlich aufgedrängt. Sehen Sie sich das an.","39","2"
"Mr Hanson","Hm. Die Aufnahme scheint schon älter zu sein. Eine Party. Mrs","40","-1"
"Mr Hanson","Summer steht im Türrahmen und küsst einen Mann.","40","-1"
"Justus","Dessen auffällig große Nase keinen Zweifel aufkommen lässt,","40","2"
"Justus","um wen es sich dabei handelt.","40","2"
"Bob","Ja, natürlich.","40","4"
"Peter","Professor Steed!","40","3"
"Justus","Genau.","40","2"
"Mrs Summer","Ich friere, ihr verdammten Schnüffelnasen. Wo habt ihr meinen","40","1205"
"Mrs Summer","Pelzmantel gelassen? Und dann bringt mir gefälligst ein Glas","40","1205"
"Mrs Summer","Champagner!","40","1205"
"Justus","Madam, Sie haben uns die letzten zwei Tage bestens","40","2"
"Justus","unterhalten. Wir haben eine Menge dazugelernt und ich muss","40","2"
"Justus","gestehen, dass mir und meinen Kollegen so etwas wie Ihr Trio","40","2"
"Justus","noch nie begegnet ist.","40","2"
"Peter","Das stimmt.","40","3"
"Bob","Das kann man wohl sagen.","40","4"
"Justus","Nach wie vor werden wir selbstverständlich absolute Diskretion","40","2"
"Justus","bewahren, da Sie uns als Detektive mit diesem Fall beauftragt","40","2"
"Justus","haben. Doch mit Mr Hanson müssen Sie darüber schon selbst","40","2"
"Justus","verhandeln. Schließlich haben Sie ihn angerufen und ihn auf die","40","2"
"Justus","Story angesetzt. Ich kann mir allerdings nicht vorstellen, dass er","40","2"
"Justus","sich diesen Leckerbissen entgehen lässt!","40","2"
"Mr Hanson","Professor Steed, seien Sie bitte so freundlich und stellen Sie sich","40","-1"
"Mr Hanson","zu Ihrer Geliebten an die Bahre. Bob, du holst die die Wachsfigur","40","-1"
"Mr Hanson","aus dem Spind und stellst sie daneben. Gesellt euch dazu,","40","-1"
"Mr Hanson","Jungs. Und lächelt. Recht freundlich bitte.","40","-1"
"Justus","Die Presse wartet, Madam. Meinen Sie nicht, dass Sie sich für","40","2"
"Justus","das Foto noch etwas zurechtmachen sollten? Ich will ja nicht","40","2"
"Justus","unhöflich sein, aber Sie sehen aus wie eine Leiche!","40","2"
"REGIE","*Schlussmusik*","40","0"
