"Speaker","Text","Page","speaker_id"
"REGIE","Die   drei   ???   -  Der   Biss   der   Bestie","1","0"
"REGIE","Hörspielskript von Mecki","1","0"
"REGIE","Anfangsmusik","1","0"
"REGIE","Sirene","1","0"
"Justus","erschrocken Vorsicht, Onkel Titus, der Krankenwagen!","1","2"
"Onkel Titus","Ah, diese Idioten! Die haben wohl noch nie etwas von Vorfahrtsregeln gehört.","1","73"
"Justus","Die hatten die Sirene an. Sie hatten also Vorfahrt.","1","2"
"Onkel Titus","Ja...","1","73"
"Justus","Hm.","1","2"
"Onkel Titus","Ärgern wir uns nicht. Fahren wir zum Museum.","1","73"
"Justus","Ja.","1","2"
"REGIE","Zwischenmusik","1","0"
"Erzähler","Kurze Zeit später parkte Onkel Titus seinen Pick up vor dem ehemaligen","1","574"
"Erzähler","Naturkundemuseum. Der Krankenwagen, den er vorhin beinahe gerammt","1","574"
"Erzähler","hätte, stand direkt vor dem Eingang. Von seinen Insassen fehlte jedoch jede","1","574"
"Erzähler","Spur. Justus wollte gerade am Eingangsportal klingeln, als sich die Tür öffnete","1","574"
"Erzähler","und zwei Sanitäter einen alten Mann auf einer Bahre hinaus trugen. Ein","1","574"
"Erzähler","jüngerer dunkelhaariger Mann und zwei kleine Kinder folgten ihnen.","1","574"
"REGIE","Hintergrundmusik","1","0"
"Winston Wadleigh","schmerzverzerrte Stimme Die Kinder...die Kinder...","1","-1"
"Quentin Wadleigh","Beruhige dich, Dad.","1","1121"
"Winston Wadleigh","aufgeregt Nein! Die Gefahr...","1","-1"
"Quentin Wadleigh","Es gibt keine Gefahr, Dad. Du hast nur Fieber.","1","1121"
"Onkel Titus","Justus!","1","73"
"Justus","Hm?","1","2"
"Onkel Titus","Der Mann auf der Trage ist Dr. Wadleigh. Der Andere ist sein Sohn Quentin mit","1","73"
"Onkel Titus","seinen beiden Kindern.","1","73"
"Justus","Aha.","1","2"
"Sanitäter","Wir werden ihn jetzt ins Memorial Hospital bringen.","1","1131"
"Winston Wadleigh","Bitte...gefährlich...wenn der der Tiger kommt...","2","-1"
"Sanitäter","unfreundlich Machen Sie bitte Platz! Platz bitte! Pause So. Alles klar, wir","2","1131"
"Sanitäter","können.","2","1131"
"REGIE","Türen zuschlagen","2","0"
"REGIE","Sirene","2","0"
"Onkel Titus","Zur Seite, Justus.","2","73"
"Justus","Ja.","2","2"
"REGIE","Sirene wird leiser","2","0"
"Quentin Wadleigh","Oh...sind Sie nicht Mr. Madsen vom Gebrauchtwarencenter?","2","1121"
"Onkel Titus","Da liegt eine Verwechslung vor. Ich bin Titus Jonas.","2","73"
"Quentin Wadleigh","Oh, bitte verzeihen Sie, Mr. Jonas, natürlich. Und äh...du bist sein Neffe Justus,","2","1121"
"Quentin Wadleigh","richtig?","2","1121"
"Justus","So ist es.","2","2"
"Quentin Wadleigh","Aber kommen Sie doch mit rein.","2","1121"
"Onkel Titus","Gern.","2","73"
"REGIE","räuspert sich","2","0"
"REGIE","Schritte","2","0"
"REGIE","Türknarren, Schließen","2","0"
"Quentin Wadleigh","So...ich mach uns einen Kaffee.","2","1121"
"Justus","Ja, gerne.","2","2"
"Quentin Wadleigh","Dann können wir auch gleich das Geschäftliche regeln. Ich nehme an, dass","2","1121"
"Quentin Wadleigh","mein Vater auch bei Ihnen eine Ladung Krempel...räuspert sich...äh, ich meine","2","1121"
"Quentin Wadleigh","natürlich Altwaren, bestellt hat, ja?","2","1121"
"Onkel Titus","Ja, richtig vermutet.","2","73"
"Quentin Wadleigh","Hm.","2","1121"
"REGIE","Kinderstimmen im Hintergrund","2","0"
"Quentin Wadleigh","Sammy und Jamie, hört sofort auf zu toben!","2","1121"
"Onkel Titus","belustigt Muntere Kerlchen!","2","73"
"Quentin Wadleigh","Ja. Aber Sie können sich nicht vorstellen, wie schwer es ist, einen Babysitter für","2","1121"
"Quentin Wadleigh","die Jungs zu finden. Setzen Sie sich doch.","2","1121"
"Justus","Ah...danke.","3","2"
"Quentin Wadleigh","Ja, die Kinder sind bereits seit letzter Woche hier. Ich musste geschäftlich nach","3","1121"
"Quentin Wadleigh","San Francisco und hatte mir gedacht, dass sie es spannend finden würden, so","3","1121"
"Quentin Wadleigh","lange bei Dad im Museum zu bleiben.","3","1121"
"Justus","Mhm.","3","2"
"Onkel Titus","Ja, welches Kind würde das nicht spannend finden?","3","73"
"Quentin Wadleigh","Ja.","3","1121"
"Onkel Titus","Ihr Vater hat aber auch wirklich ein außergewöhnliches Haus gekauft.","3","73"
"Quentin Wadleigh","Tja, nun wohnt er also im geschlossenen und völlig maroden Museum. Er hat","3","1121"
"Quentin Wadleigh","eine Vorliebe für das Außergewöhnliche und Absurde. Dabei hab ich schon","3","1121"
"Quentin Wadleigh","immer befürchtet, dass er sich eines Tages ernsthaft in Bedrängnis bringen","3","1121"
"Quentin Wadleigh","könnte. Wissen Sie, warum er eben ins Krankenhaus gebracht werden musste?","3","1121"
"Quentin Wadleigh","Er hatte eine völlig unerklärliche Bisswunde am Arm. Sie haben sie doch","3","1121"
"Quentin Wadleigh","gesehn! So etwas zieht man sich nicht beim Abstauben von Fossilien zu.","3","1121"
"Onkel Titus","Nun, wenn es ihm besser geht, wird er ihnen sicherlich erzählen, wie das","3","73"
"Onkel Titus","passiert ist.","3","73"
"Quentin Wadleigh","atmet hörbar ein So lange kann ich nur leider nicht warten. Vor einer Stunde","3","1121"
"Quentin Wadleigh","hat mein Chef angerufen und gesagt, dass ich morgen nach New Mexico","3","1121"
"Quentin Wadleigh","fahren muss. Ein Kunde hat einen großen Auftrag für unsere Firma.","3","1121"
"Onkel Titus","Das klingt doch ausgezeichnet.","3","73"
"Quentin Wadleigh","Ja, und was wird aus den Kindern?","3","1121"
"Justus","Hm.","3","2"
"Quentin Wadleigh","Meine Frau ist zur Zeit geschäftlich in Europa. Dr. Frears, der beste Freund","3","1121"
"Quentin Wadleigh","meines Vaters, ist ein zerstreuter Chaot, und Mrs. Pitkätossu, das ist die","3","1121"
"Quentin Wadleigh","Nachbarin. Sie wohnt direkt gegenüber auf dem Hügel. Sie hat keinen Platz für","3","1121"
"Quentin Wadleigh","die Jungs. Hier wohnen will sie aber auch nicht, weil es im Museum angeblich","3","1121"
"Quentin Wadleigh","spukt. lacht kurz Lächerlich!","3","1121"
"Justus","nachdenklich Tja...","3","2"
"Jamie","Aber es gibt wirklich Gespenster hier! Der Säbelzähnetiger lebt!","3","1124"
"Quentin Wadleigh","Das heisst Säbelzahntiger, Jamie. Und ich bin mir ganz sicher, dass ein 20.000","3","1121"
"Quentin Wadleigh","Jahre altes Raubtier nicht mehr rumlaufen kann.","3","1121"
"Jamie","Doch, er spukt jede Nacht, und er hat Grandpa gebissen.","3","1124"
"Quentin Wadleigh","Ah, das ist blanker Unsinn! Wie oft soll ich euch noch sagen, dass es keine","3","1121"
"Quentin Wadleigh","Geister gibt.","3","1121"
"Justus","Ihr Vater hat eben allerdings tatsächlich etwas von einem Tiger und einer","4","2"
"Justus","Gefahr gesagt. Was könnte er damit gemeint haben?","4","2"
"Quentin Wadleigh","Nichts. Er...er hatte hohes Fieber. Da kann man schon mal absurde Dinge von","4","1121"
"Quentin Wadleigh","sich geben.","4","1121"
"Justus","Ja, aber er war ernsthaft besorgt um das Wohl der Kinder.","4","2"
"Jamie","Er hat uns sogar verboten, mit dem Säbelzähnetiger zu spielen.","4","1124"
"Sammy","Ja!","4","1125"
"Quentin Wadleigh","Ja ja, natürlich hat er das. Und ich möchte, dass ihr euch daran haltet. Lasst das","4","1121"
"Quentin Wadleigh","Biest in Ruhe!","4","1121"
"Onkel Titus","Sie haben tatsächlich einen Säbelzahntiger im Haus?","4","73"
"Quentin Wadleigh","Ja. Kommen Sie, ich zeig Ihnen das Fiech.","4","1121"
"REGIE","Schritte","4","0"
"Quentin Wadleigh","So, hier lang. Da wären wir.","4","1121"
"Justus","Mhm.","4","2"
"Quentin Wadleigh","Da auf dem Sockel steht er.","4","1121"
"REGIE","gibt erstaunten Laut von sich","4","0"
"Sammy","Er ist böse. Er will uns alle fressen!","4","1125"
"Quentin Wadleigh","Mei...mein Vater hat das Skelett zusammen mit den anderen","4","1121"
"Quentin Wadleigh","Ausstellungsstücken vom ehemaligen Besitzer übernommen.","4","1121"
"Justus","Ein schönes Stück.","4","2"
"Onkel Titus","Ja, aber riecht reichlich streng.","4","73"
"Justus","Mhm.","4","2"
"Quentin Wadleigh","riecht Ähm, das...das muss aus den Rohren kommen. Die sanitären Anlagen","4","1121"
"Quentin Wadleigh","sind leider mehr als marode. Ja...","4","1121"
"Justus","Mh...also ehrlich gesagt riecht es eher nach wildem Tier.","4","2"
"Quentin Wadleigh","leise Nein.","4","1121"
"Sammy","Es ist der Tiger. Der böse Mann hat das auch gesagt.","4","1125"
"Quentin Wadleigh","Ach!","4","1121"
"Justus","Was für ein böser Mann?","5","2"
"Quentin Wadleigh","Sammy hat angeblich gehört, wie ein Mann sich ganz furchtbar mit Dad","5","1121"
"Quentin Wadleigh","gestritten haben soll.","5","1121"
"Jamie","Ja! Er hat gesagt, dass Grandpa ein Idiot ist. Und dass alles ganz gefährlich ist,","5","1124"
"Jamie","wegen dem Hygene, der damit zu tun hat!","5","1124"
"Quentin Wadleigh","Hygiene, nicht Hygene, Jamie. Das heisst Sauberkeit.","5","1121"
"REGIE","Hundegebell im Hintergrund","5","0"
"Quentin Wadleigh","Der Mann war garantiert ein Handwerker, der mit Grandpa über die Rohre in","5","1121"
"Quentin Wadleigh","den Toiletten gesprochen hat.","5","1121"
"Justus","Hm.","5","2"
"Sammy","Aber Bahamas hat auch...","5","1125"
"Quentin Wadleigh","Ach, Bahamas! Jamie, geh und lass den Hund wieder raus.","5","1121"
"Jamie","O.k.","5","1124"
"Quentin Wadleigh","Aber pass auf dass er nicht in den Ausstellungsraum läuft. Ich möchte da keine","5","1121"
"Quentin Wadleigh","Tiere drin haben. lacht Zumindest keine lebendigen. Pause Bitte, Mr. Jonas,","5","1121"
"Quentin Wadleigh","entschuldigen Sie das Chaos hier. Ich fürchte, Sie sind an einem wirklich","5","1121"
"Quentin Wadleigh","ungünstigen Tag gekommen. Sag mal, Justus...","5","1121"
"Justus","Ja?","5","2"
"Quentin Wadleigh","Mir war doch so, dass ihr irgend so ein Detektivunternehmen führt und","5","1121"
"Quentin Wadleigh","verschiedene Fälle annehmt, richtig?","5","1121"
"Justus","Ganz genau. Hier ist unsere Karte.","5","2"
"Quentin Wadleigh","Ja...danke. Die drei Detektive, wir übernehmen jeden Fall, drei Fragezeichen.","5","1121"
"Quentin Wadleigh","Erster Detektiv: Justus Jonas.","5","1121"
"Justus","leise Ja.","5","2"
"Quentin Wadleigh","Zweiter Detektiv: Peter Shaw. Recherchen und Archiv: Bob Andrews.","5","1121"
"Justus","Mhm.","5","2"
"Quentin Wadleigh","Ah, soso. Und ihr übernehmt wirklich jeden Fall?","5","1121"
