"Speaker","Text","Page","speaker_id"
"REGIE","Die   drei   ???    (94)   - Das    schwarze        Monster","1","0"
"REGIE","- Hörspielskript von Haushinka -","1","0"
"REGIE","*Anfangsmusik*","1","0"
"REGIE","*Peter wird von hinten gepackt und versucht um Hilfe zu schreien, Blacky krächzt in der folgenden","1","0"
"REGIE","Szene mehrmals, Schrottplatzlärm*","1","0"
"Erzähler","Peter Shaw konnte sich nicht wehren. Nachdem er den alten","1","574"
"Erzähler","Campingwagen betreten hatte, wurde ihm von hinten ein dunkler Sack über","1","574"
"Erzähler","den Kopf gezogen. Das Herz schlug ihm bis zum Hals.","1","574"
"REGIE","*Handschellenklicken, Justus und Bob lachen die ganze Szene über*","1","0"
"Peter","*mit erstickter Stimme* Bob? Bob? Justus? Seid ihr das? *energisch* Was","1","3"
"Peter","soll das? Nehmt mir sofort den Sack vom Kopf!","1","3"
"Bob","Nee.","1","4"
"Peter","Und dann macht diese Handschellen los!","1","3"
"Bob","Die bleiben schön dran.","1","4"
"Justus","Du hast Geburtstag. Da muss man mit Überraschungen rechnen.","1","2"
"Bob","Genau.","1","4"
"Peter","Überraschungen? Ich hab gedacht, mein... mein letztes Stündchen hätte","1","3"
"Peter","geschlagen! *aufgebracht* Das ist nicht komisch!","1","3"
"Bob","Ja, ja. Aber die Überraschung hat gerade erst angefangen.","1","4"
"Peter","Das ist ja sehr nett von euch, aber was habe ich davon, wenn ich nichts","1","3"
"Peter","sehe?","1","3"
"Bob","Das ist ja genau der Witz an der Sache. Also los! Vorwärts nach draußen!","1","4"
"Bob","So.","1","4"
"REGIE","*Schritte*","1","0"
"Justus","Langsam! Fall nicht!","1","2"
"Bob","Vorsicht, Vorsicht, Vorsicht hier mit den Stufen!","1","4"
"Justus","So.","1","2"
"Peter","Was habt ihr denn vor?","1","3"
"Bob","Achtung! So. Und jetzt erst mal hier lang. Ganz vorsichtig!","1","4"
"Justus","Kopf einziehen.","1","2"
"Bob","Darf ich das Geburtstagskind bitten, *Autotüren werden geöffnet* in dem","2","4"
"Bob","Wagen hier Platz zu nehmen?","2","4"
"Peter","In dem Wagen. Aha.","2","3"
"Bob","Rein da!","2","4"
"Justus","Wir fahren Sie nun zu ihrer eigentlichen Geburtstagsüberraschung.","2","2"
"REGIE","*Autotüren werden wieder geschlossen*","2","0"
"Bob","Genau.","2","4"
"REGIE","*Auto wird gestartet*","2","0"
"Bob","Ein wenig Musik gefällig?","2","4"
"REGIE","*Musik erklingt*","2","0"
"Erzähler","Nach etwa fünf Minuten endete die Fahrt. Peter schob sich mühsam aus","2","574"
"Erzähler","dem Wagen hinaus und wurde von Bob und Justus am Arm geführt.","2","574"
"Erzähler","*Schritte, im Hintergrund leise Stimmen* Ein angenehm süßlicher Geruch","2","574"
"Erzähler","lag in der Luft. Plötzlich stieß der zweite Detektiv gegen eine metallene","2","574"
"Erzähler","Stufe. Eine kurze Treppe führte nach oben, dann ergriff jemand seine","2","574"
"Erzähler","Schultern und drückte ihn mit sanfter Gewalt in ein bequemes Polster.","2","574"
"Erzähler","Plötzlich drückte etwas auf seinen Bauch, sodass er sich kaum noch","2","574"
"Erzähler","bewegen konnte. Dann kippte er nach hinten.","2","574"
"REGIE","*Rattern*","2","0"
"Peter","*lacht nervös* He, Leute! Was passiert hier? Was habt ihr mit mir vor?","2","3"
"Bob","Jetzt darfst du gucken. *lacht*","2","4"
"Justus und Bob","Überraschung! Herzlichen Glückwunsch! *lachen*","2","-1"
"Peter","Eine Achterbahn, ihr Idioten! Ich kann mich nicht festhalten! Nehmt mir","2","3"
"Peter","sofort die Handschellen ab!","2","3"
"Bob","Nein, nein, nein. Ist zu spät.","2","4"
"Justus","Du wirst schon nicht raus fallen! Jetzt geht's abwärts.","2","2"
"REGIE","*die drei Jungs schreien während der Fahrt vor Begeisterung*","2","0"
"Peter","Man, ihr seid ja verrückt. *Achterbahn kommt zum Stehen* Könnt ihr mich","3","3"
"Peter","jetzt endlich von meinen Handschellen befreien?","3","3"
"Bob","Jetzt schon? Ich dachte jetzt drehen wir erst mal noch ein paar Runden.","3","4"
"Peter","Auf gar keinen Fall!","3","3"
"Bob","Was meinst du, Just? Erlösen wir ihn?","3","4"
"Justus","Er hat ja heute Geburtstag.","3","2"
"Peter","Danke. Aber seit wann ist denn der Zirkus hier? Ich habe gar nicht","3","3"
"Peter","mitgekriegt, dass er nach Rocky Beach kommt.","3","3"
"Justus","Die Premierenvorstellung ist erst heute Abend. Um präzise zu sein: in einer","3","2"
"Justus","Stunde. Und ich habe Freikarten für uns drei!","3","2"
