"Speaker","Text"
"Hitchcock","„50 Jahre sind vergangen, dieses halbe Jahrhundert sollte Läuterung bewirkt haben. Es darf jedoch nicht gestohlen oder geraubt werden. Es muß gekauft, als Geschenk empfangen oder gefunden werden.“"
"Peter","Was war Dein Großonkel für ein Mensch, Gus?"
"Gus","Ich weiß nicht, Peter. Ich habe ihn nie gesehen. Ich weiß nur, daß er hier in Hollywood gelebt hat und hier gestorben ist. Und das er verfügt hat, daß ich dieses Schriftstück haben soll."
"Hitchcock","Gus hat sich einen Anwalt genommen, Mr.DwiggIns. Aber ich habe ihm empfohlen, auch mit Euch zusammenzuarbeiten. Telephonbimmeln"
"Justus","Das wird er bestimmt nicht bereuen. Komm, Gus, wir fahren zu dem Anwalt Mr.DwiggIns!"
"REGIE","Musik setzt ein"
"Gus","Einverstanden!"
"Hitchcock","Viel Erfolg, Jungs."
"3???/ Gus","Danke!"
"REGIE","Szenenübergangsmusik"
"Justus","Ah, hier ist es ja: Dwiggins - Anwalt."
"Gus","Die Tür ist nur angelehnt!"
"Justus","Ja!"
"Dwiggins","Hilfe!"
"Bob","Da ruft doch jemand um Hilfe!"
"Gus","Vielleicht Mr. Dwiggins."
"Dwiggins","Hilfe! Helft mir doch!"
"Gus","Schnell, wir sehen nach! Kommt! (Rennen die Treppe hoch)"
"Peter","Es kommt von dort!"
"Dwiggins","Hilfe! Hilfe!!"
"Justus","Im Wandschrank!"
"Bob","Mach` doch auf Just!"
"Justus","Es geht nicht! Warte! Tür knatscht Jetzt!"
"Gus","Mr.Dwiggins!"
"Dwiggins","Dem Himmel sei Dank, daß Ihr gekommen seid!"
"Justus","Seltsam, wer hat Sie hier eingesperrt?"
"Dwiggins","Vielen Dank! (hechelt) Noch einige Minuten länger und ich wäre im Schrank erstickt. Aber, aber, wer seid Ihr eigentlich?"
"Gus","Ich bin August August, wir haben telephoniert, wegen der Erbschaft."
"Justus","Und wir sind Detektive!"
"Dwiggins","Detektive?"
"Gus","Ja, sie helfen mir beim Entziffern dieser geheimnisvollen Botschaft von Onkel Horatio."
"Justus","Was ist passiert, Mr.Dwiggins?"
"Dwiggins","Passiert? Himmel unendlich viel! Ich bin überfallen worden. Brutal, wie man es sonst nur im Film sieht. Mein Leben war in Gefahr, ich weiß nicht ..."
"Justus","Mr.Dwiggins, wer hat Sie überfallen?"
"REGIE","Dwiggins blättert in den Unterlagen"
"Dwiggins","Mein Geheimarchiv! Der Halunke hat meine Akten durchwühlt! Was hat er mitgenommen? Was soll das? Der Hefter dort auf dem Tisch, den hab` ich doch nicht dorthin gelegt."
"Justus","Beruhigen Sie sich, Mr.Dwiggins!"
"Dwiggins","Die Akten von Deinem Onkel, ich war 20 Jahre lang sein Rechtsberater. Der Brief! Er ist weg!"
"Gus","Was für ein Brief?"
"Dwiggins","Der Bursche, der mich außer Gefecht gesetzt hat, hat meine Kopie mitgenommen. Die Kopie dieser testamentarischen Mitteilung von Horatio August."
"Justus","Bitte, erzählen Sie, was passiert ist!"
"Dwiggins","Ich hab` hier am Schreibtisch gesessen, dann ging die Tür auf und ein Mann mit einem schwarzen Bart und einer Sonnenbrille kam herein. Er hat mich gepackt und eingeschlossen. Wenn Ihr mich nicht befreit hättet, wäre ich erstickt."
"Justus","Wie lange waren Sie in dem Schrank?"
"Dwiggins","Stunden. Mehrere Stunden."
"Peter","War Mr. Horatio August reich?"
"DwiggIns","Reich? Nein, wahrhaftig nicht. Ich mußte die Möbel und sein Haus verkaufen, um aus dem Erlös die Beerdigung zu bezahlen."
"Justus","Und dennoch muß er seinem Großneffen Gus etwas sehr Wertvolles hinterlassen haben."
"DwiggIns","Richtig, junger Mann. Ich weiß nicht, was es ist, aber Horatio August sagte einmal zu mir: „Henry, es gibt da Dinge von mir, die Du besser nicht weißt. Merke Dir nur eins: Wenn Du je in dieser Gegend einen dunkelhäutigen Mann mit drei tätowierten Punkten auf der Stirn begegnest, dann sieh` Dich vor. Es geht um das Feurige Auge. Es könnte gefährlich werden.“ Er war ein geheimnisvoller Mann, da haben die Zeitungen schon recht."
"Peter","Zeitungen?"
"Dwiggins","Ja, die Zeitungen. Sie haben ausführlich über ihn berichtet. Auch, daß er sein Vermögen zum Teil in Indien erworben hat."
"Gus","Wie finden wir denn nun heraus, was er mit seinen Worten in dem Brief an mich gemeint hat?"
"Justus","Wir sehen uns zunächst einmal sein Haus an. Wo steht es?"
"Dwiggins","Am Mittagscanyon. Aber da werdet Ihr nichts mehr finden. Ich sagt ja schon, daß ich alles verkauft habe, was in diesem Haus war. Als letztes gingen diese Gipsbüsten weg."
"Justus","Gipsbüsten? Von berühmten Männern?"
"Dwiggins","Ja, ganz recht. Ich habe sie an einen Trödler verkauft."
"Justus","Mr.Dwiggins wir müssen jetzt gehen. Ich glaube, ich weiß jetzt, was die geheime Botschaft bedeutet."
"Dwiggins","Du weißt?"
"Justus","Kommt, Kollegen, wir haben es eilig!"
"REGIE","Musik setzt ein Rennen durchs Treppenhaus"
"Dwiggins","Aber wieso? Jungen, so hört doch!"
"Erzähler","Mir scheint, in Justus' Kopf hat eine Erleuchtung stattgefunden. Die Jungen rasten zum Schrottplatz zurück. Sie fuhren in dem goldbeschlagenen Rolls Royce, der ihnen von eine Autoverleiher mit Chauffeur zur Verfügung gestellt wurde."
"Peter","Ach, Mensch, Just, nun red' doch endlich! Du machst ja der Feuerwehr Konkurrenz."
"Justus","Es geht nicht um ein Feuer, aber um ein Feuriges Auge, Peter."
"Bob","Das begreif' ich nicht."
"Peter","Just, Du bist hinter die Geheimbotschaft gekommen, stimmt's?"
"Gus","Stimmt das?"
"Justus","Ich glaub`, ich hab's. Erinnert Ihr Euch an den Satz im Brief, wo es heißt „August ist der Hüter Deines Glücks“?"
"Peter","Ja, und?"
"Justus","Die Gipsköpfe von berühmten Leuten. Washington, Lincoln usw. Und dann war da noch der Kopf eines August. August von Polen."
"Gus","„August ist der Hüter Deines Glücks“. Das hat mein Onkel geschrieben."
"Peter","Du meinst also, daß in der Büste was versteckt ist."
"Justus","Ich bin ganz sicher. Es paßt alles genau zusammen. Mr. August hat etwas Wertvolles versteckt, was er Gus vermacht hat: Das Feurige Auge. Wo anders sollte er es versteckt haben, als in einer Gipsbüste, die ebenfalls den Namen August trägt. Wo doch der Name August in dieser Familie eine so große Rolle spielt."
"Morton","Wir sind da, die Herrschaften!"
"Justus","Danke, Mr.Morton."
"Peter","Schnell raus! Wir müssen die Augustbüste untersuchen!"
"Bob","Da stehen die Gipsköpfe noch! Autotüren schlagen zu Einige fehlen! Unter ihnen August von Polen! Er ist weg!"
"REGIE","Vogelgezwitscher, Hundegebell"
"Justus","Tante Mathilda! Tante Mathilda, wo sind die anderen Büsten?"
"Mathilda","Wo sollen sie schon sein!? Ich habe sie verkauft für 5$. Die Leute stellen sich gern so etwas in den Garten."
"Justus","Du hast doch nicht zufällig, ich meine, Du hast nicht zufällig, ich meine, hast Du die Namen und Adressen der Käufer aufgeschrieben?"
"Mathilda","Die Namen? Du lieber Himmel, wie käme ich dazu? Die Leute kauften ihren Kopf und fuhren damit wieder ab."
"Justus","Kannst Du mir irgendetwas über die Leute sagen. Besonders über die, die August von Polen gekauft haben."
"REGIE","Telephonklingeln"
"Mathilda","Na, hör mal! Was in aller Welt interessiert daran schon? Tut mir leid, ich kann Dir nichts sagen, ich muß zum Telephon."
"Peter","Was jetzt? Falls König August für Gus das Glück hütet, was immer das auch sein mag, wird er es weiter hüten, aber nicht für Gus."
"Gus","Ihr habt es wenigstens versucht. Deine Tante konnte ja nicht wissen, welche Bedeutung diese Gipsköpfe für mich haben."
"Justus","Möglicherweise finden wir die Köpfe wirklich nicht mehr, aber ich gebe mich noch nicht geschlagen. Wir sind Detektive, wir müssen einfach mit unseren Ermittlungen fortfahren."
"Bob","Und wie?"
"Justus","Das weiß ich noch nicht. Ach, ich bin noch am Überlegen."
"Bob","Ich hab`s! Wir versuchen es mit der Telephonlawine!"
"Gus","Telephonlawine? Arbeitet Ihr mit der Telephongesellschaft zusammen?"
"Bob","Nicht direkt. Überlege mal: Wer achtet in einem Wohnviertel am meisten auf das, was sich so tut? Zum Beispiel, wenn sich ein Nachbar eine auffällige Gipsbüste in den Garten stellt?"
"Peter","Na?"
"Gus","Ich komm` nicht drauf."
"Peter","Die Kinder natürlich. Kinder sind überall und fallen nicht weiter auf, aber sie bekommen alles mit, was vor sich geht."
"Bob","Die Sache hat nur einen Haken: Wie kommt man mit möglichst vielen Kindern in der ganzen Stadt in Verbindung? Hilfsbereit sind ja alle, aber wenn sie nicht wissen, was wir wollen, können sie auch nicht helfen."
"Gus","Wie macht Ihr das? Wie bekommt Ihr Kontakt?"
"Bob","Dafür gibt es ja die Telephonlawine. Es war Just's Idee. Jeder von uns hat Freunde und Bekannte und die haben wiederum Freunde."
"Peter","Ja. Und wenn wir nun etwas herausfinden wollen, ruft jeder von uns 5 Freunde an und sagt ihnen, was wir wissen wollen und die telephonieren ebenfalls mit 5 Freunden."
"Bob","Und die auch wieder. Und so breitet sich unsere Frage in kurzer Zeit über die ganze Stadt aus."
"Gus","Wenn jeder von Euch 5 Freunde aunruft, macht das 15. Und wenn jeder von denen wieder 5 anruft, sind das schon 75. Und dann 300 und etwas und dann schon weit über Tausend. Telephonierst Du jetzt gleich, Just?"
"Justus","Es ist zu früh. Jetzt sind die meisten Kinder noch draußen und spielen. Wir müssen warten bis nach dem Abendbrot."
"Peter","Just, was glaubst Du eigentlich ist in der Büste?"
"Justus","Der Anwalt Mr. Dwiggins sagte etwas von einem Feurigen Auge."
"Bob","Aber was ist das, Just?"
"Justus","Es ist klein, sonst könnte es nicht in einer Gipsbüste stecken. Wenn man die Sorgfalt bedenkt, mit der Mr. August es verborgen hat, verbunden mit der Tatsache, daß man nur ganz berühmten Edelsteinen Namen verleiht, denkt an den „Stern von Indien“ oder „Koh-i-Noor“, dann muß man daraus schließen, daß das Feurige Auge ein Juwel ist."
"Gus","Ein Edelstein?"
"Justus","Ein Juwel, das Mr. August vor vielen Jahren aus dem Orient mitbrachte. Und dieser Stein war auch der Grund dafür, daß Mr. August später so zurückgezogen wohnte."
"Bob","Pssst, da kommt ein Kunde."
"Peter","Mensch!"
"Bob","Ich glaub`, ich sehe nicht richtig."
"Gus","Der Mann hat 3 kleine Punkte auf der Stirn."
"Rhandur","Bitte, entschuldigen Sie. Diese interessanten Büsten."
"Justus","Ja, bitte, Sir?"
"Rhandur","Haben Sie noch mehr von diesen Figuren?"
"Justus","Noch mehr?"
"Rhandur","Ja, noch andere. Wenn ja, dann würde ich sie mir gerne ansehen. Ich möchte etwas ganz besonderes haben, verstehen Sie? Nicht gerade George Washington oder Benjamin Franklin."
"Justus","Das sind alle. Die anderen sind verkauft."
"Rhandur","Ähm, dann gab es also noch mehr davon? Und die Namen, Junge?"
"Justus","Ähm, die weiß ich nicht so genau, ähm, so komische Namen. Homer sowieso, und äh, äh, August von ..., ach, ich habe es vergessen."
