"Speaker","Text"
"Rhandur","August? Ja, ich glaube die Büste von August würde mir gefallen. Für meinen Garten. Du sagst die Büste ist verkauft?"
"Justus","Ja, gestern."
"Rhandur","Und der Käufer? Wie heißt er? Ich will ihm die Büste wieder abkaufen."
"Justus","Wir schreiben keine Adressen auf. Aber manchmal geben die Leute die Sachen wieder zurück. Wenn der Kauf zurück gebracht wird, können Sie ihn haben. Lassen Sie mir Ihren Namen und Ihre Adresse da."
"Rhandur","Gute Idee. Hier, meine Karte. Ich zahle 100$."
"Justus","Ich werden Sie anrufen."
"Rhandur","Ja, das wirst Du tun. Momentchen, hier liegt Papier herum, das mag ich nicht. Ich liebe Sauberkeit. Zieht seine Klinge/ pling!-Geräusch, allgemeines Erschrecken)"
"Gus","In dem Stock ist ja eine Klinge!"
"Rhandur","Nicht wahr! Du wirst mich anrufen. Vergiß es nicht, sonst ähm ... (höhnisches Gelächter) Hundegebell Auto fährt weg"
"Peter","Habt Ihr das gesehen? In seinem Spazierstock ist eine Klinge verborgen! Mr.Dreipunkt wollte uns drohen."
"Bob","Er hat uns die in dem Stock versteckte Klinge gezeigt, um uns zu sagen, daß er verdammt böse werden kann. Eine Frechheit sondergleichen!"
"Peter","Mit ihm ist nicht zu spaßen. Ich dachte schon, er wollte Dich erstechen, Justus."
"Gus","Was steht denn auf der Karte, Just? Wie heißt der Mann?"
"Justus","Hier steht: Rama Sidri Rhandur, Pleshiwar, Indien."
"Peter","Indien?"
"Gus","Ich glaube, den Mann habe ich schon einmal gesehen. Das ist schon lange her. Ich erinnere mich daran, daß ein Mann aus Indien meinen Vater besucht hat. Ich kann mich auch irren."
"Bob","Er hat 3 Punkte au der Stirn. Das könnte ein Kastenzeichen sein."
"Justus","Er wußte bescheid. Vielleicht hat er die Kopie bei Anwalt Dwiggins gestohlen."
"Gus","Aber er trug keine Sonnenbrille und keinen schwarzen Bart."
"Bob","Er könnte andere damit beauftragt haben, Dwiggens zu überfallen. Auf alle Fälle wußte er, daß es mit dem August etwas besonderes auf sich hat."
"Justus","Immerhin habe ich seine Adresse. Die steht nämlich auch auf der Karte. Er wohnt in einem Motel in Hollywood."
"Peter","Ich bin dafür, daß wir die Sache fallen lassen. Indien! Wenn Rhandur zu einer Sekte von Fanatikern gehört, wird es gefährlich. Ich habe mal über Angehörige einer indischen Stammesgruppe gelesen, die auf der Suche einer verlorengegangenen Reliquie waren. Sie sahen einen bloß an und dann hatte man schon ein Messer im Bauch."
"Justus","Bis jetzt können wir so etwas nur vermuten. Bob, Du bist für Recherchen verantwortlich."
"Bob","Wo soll ich nachforschen?"
"Justus","In der Bibliothek. Sieh zu, daß Du etwas über das Feurige Auge herausfindest. Schlag' auch unter Pleshiwar nach."
"Bob","Okay, bis später. Ich fahr` gleich los."
"Gus","Also, ich weiß nicht. Die Sache ist zu gefährlich. Peter hat recht. Wir sollten aufgeben. Ich will nicht, daß Ihr Euer Leben für mich riskiert."
"Peter","Das ist eine ausgezeichnete Idee, Gus."
"Gus","Dann bleib' ich lieber arm. Ich werde schon irgendwie durchkommen. Fahrradbimmeln"
"Justus","Wir haben gerade erst mit den Ermittlungen begonnen, Nr.2. Dabei haben wie ein paar Tatsachen zu berücksichtigen."
"Peter","Tatsachen? Wovon redest Du?"
"Justus","Ich habe den Verdacht, daß sich Mr.Dwiggins selbst in den Schrank eingeschlossen hat."
"Gus","Selbst eingeschlossen? Warum sollte er das getan haben?"
"Justus","Das weiß ich nicht, das ist noch ungeklärt, wie der ganze Fall."
"Peter","Wie kommst Du darauf, Chef? Dwiggins saß in der Falle."
"Justus","Oberflächliche Indizien, die uns in die Irre führen sollten. Denk' mal darüber nach, Nr.2, gebrauche Deinen Verstand! Dwiggins sagte doch, er sei stundenlang im Schrank gewesen."
"Peter","Ja, stimmt."
"Justus","Was würde ein Mann in dieser Situation tun?"
"Gus","Ja, er würde sich zunächst die Brille wieder aufsetzen oder er würde sie abnehmen und einstecken. Aber er würde sie nicht über 2 Stunden hinweg am Ohr hängen lassen."
"Peter","Hm, das könnte sein."
"Justus","Dann war da noch etwas. Mir fiel auf, daß die Schreibtischplatte in seinem Büro kalt war, der Stuhl aber war warm."
"Gus","Er muß kurz zuvor noch darauf gesessen haben."
"Justus","Richtig, Gus. Dwiggins hatte gesehen, wie wir kamen. Er warf den Stuhl um, kroch in den Schrank, hängte sich die Brille ans Ohr und rief um Hilfe."
"Peter","Allerhand. Aber warum sollte er das getan haben?"
"Justus","Um uns zu täuschen. Um uns weis zu machen, die Kopie des Briefes sei gestohlen worden. Und das war möglicherweise gar nicht der Fall."
"Peter","Dann meinst Du also, den Mann mit der Sonnenbrille und dem schwarzen Bart hat es gar nicht gegeben?"
"Justus","Wahrscheinlich nicht. Ich glaube, Mr.Rhandur aus Indien hat die Kopie des Briefes Mr.Dwiggins abgekauft. Dwiggins durfte natürlich nicht verkaufen und deshalb hat er versucht, uns zu täuschen."
"Gus","Das klingt logisch Telephonklingeln Das würde auch erklären, warum Mr.Rhandur hierher kam. Er hat die Bedeutung der Botschaft entschlüsselt, daß ihm die Bedeutungen der Gipsfiguren klar wurde."
"Justus","Hach, das Telephon! Wieso geht Tante Mathilda nicht ran?"
"Peter","Vielleicht hört Sie's nicht."
"Justus","Hach, ich geh` mal eben ran. Moment. Läuft zum Telephon/ -bimmeln Hallo, Ja?"
"Mrs.Peterson","Hallo? Hier ist Mrs.Peterson. Ich wohne in Malibu Beach. Es tut mir leid, aber ich habe eine Reklamation. Gestern habe ich bei Ihrer Firma 2 Gipsbüsten als Gartenplastiken gekauft."
"Justus","Ja, bitte, Mrs.Peterson."
"Mrs.Peterson","Nun ja, ich habe gemerkt, daß die Büsten keine Feuchtigkeit vertragen und das geht natürlich nicht. Es regnet ja schließlich auch ab und zu. Ich möchte sie zurückgeben."
"Justus","Wir erstatten Ihnen den Kaufpreis zurück, Mrs. Peterson. Darf ich fragen, welche Büsten Sie gekauft haben?"
"Mrs.Peterson","So genau weiß ich das gar nicht. Musik setzt ein Aber ich glaube, eine ist August oder Augustus sowieso."
"Justus","Wir kommen sofort, Mrs.Peterson! Bitte, geben Sie mir die genaue Adresse!"
"Erzähler","Bob kehrte überraschend schnell von der Bibliothek zu der Zentrale der 3 Detektive zurück. Er strahlte. Ihm war sofort anzusehen, daß er Erfolg gehabt hatte."
"Bob","Hallo Freunde, da bin ich wieder!"
"REGIE","(Hin und wieder Papageiengekrächze)"
"Peter","Hallo Bob!"
"Bob","Denkt Euch, ich war nicht der Einzige, der etwas über das Feurige Auge lesen wollte."
"Peter","Nicht der Einzige? Ja, wer war denn noch in der Bibliothek?"
"Gus","Schwarzbart mit Sonnenbrille!"
"Justus","Hast Du ihn gesehen?"
"Bob","Nein, aber Mrs. Bennett, die Bibliothekarin, hat mir erzählt, daß er sich das Buch ausgeliehen hat."
"Justus","Vor Dir?"
"Bob","Natürlich vor mir. Er hat jetzt einen Vorsprung vor uns."
"Allgemein","Oh! Verdammt!"
"Bob","Das ist nicht mehr zu ändern. Leider."
"Gus","Bob, was steht denn nun über das Feurige Auge in den Büchern?"
"Bob","Hm, ich lese Euch mal am Besten vor, was ich aufgeschrieben habe."
"Justus","Okay, aber nur das Wichtigste."
"Bob","Das sowieso. Also raschelt mit Papier, also hört zu. Es gibt Edelsteine, die das Unheil auf sich zu ziehen scheinen. Ein Besitzer nach dem anderen fällt dem Tod oder einer Krankheit zum Opfer, Schicksalsschläge drohen, niemand ist vor ihnen sicher."
"Gus","Hört sich ja schlimm an. So einen Stein möchte ich nicht."
"Peter","Kann ich verstehen."
"Bob","Das Feurige Auge ist so ein Beispiel. Wenige, die es besaßen entgingen dem Unheil. Bis der Stein schließlich als Zeichen der Muße von einem indischen Maharadscha dem Tempel der Gerechtigkeit in dem entlegenen indischen Ort Pleshiva übergeben wurde."
"Gus","Ich sagte ja, wir sollten aufgeben."
"Bob","Ähm (raschelt), der Tempel der Gerechtigkeit ist das Heiligtum einer fanatischen Gemeinde von Angehörigen eines kriegerischen Stammes. Das Kleinod wurde in die Stirn der Tempelgottheit gesetzt. Dann kommt ein ganzer Roman über alles, was der Stein kann und was er nicht kann."
"Justus","Das müssen wir nicht unbedingt wissen."
"Bob","Aber hier. Vor vielen Jahren verschwand der Stein auf geheimnisvolle Weise. Wo er sich heute befindet, ist nicht bekannt. Obwohl die Gläubigen des Tempels der Gerechtigkeit alles daran setzen, ihn wieder in ihren Besitz zu bringen. Gerüchte behaupten, ein Tempeldiener habe den Stein herausgebrochen und verkauft. Viele vermuten, daß der Stein mit den sterblichen Überresten jenes Mannes begraben wurde, der ihn gekauft hat."
"Justus","Irrtum!"
"Bob","Einer alten Legende zufolge soll das Feurige Auge geläutert sein und niemandem mehr Unheil bringen, wenn es 50 Jahre lang ungesehen und unberührt blieb. Allerdings muß es gekauft, gefunden oder geschenkt werden, es darf nicht geraubt oder gestohlen sein. Diese 50 Jahre sind nun bald verstrichen. Das Risiko des Fluches, der dem Stein nachgesagt wird Java-Jim-Musik setzt ein, würde auch heute kaum ein Sammler auf sich nehmen."
"Erzähler","Während Justus, Peter und Just nach Malibu Beach fuhren, um die Gipsbüsten von Mrs.Petersen zu holen, erschien ein mittelgroßer Mann mit Sonnenbrille und Bart auf dem Schrottplatz. Bob sah ihn kommen. Er erstarrte. Er wußte sofort, wen er vor sich hatte."
"Schwarzbart","Guten Abend, sind Sie Mrs. Jonas?"
