"Speaker","Text","Page","speaker_id"
"REGIE","Die     drei      Fragezeichen                  -","1","0"
"REGIE","177      Der      Geist        des","1","0"
"REGIE","Goldgräbers","1","0"
"REGIE","Skript von buchfrau76","1","0"
"REGIE","Anfangsmusik","2","0"
"REGIE","Geräusche eines fahrenden Autos","2","0"
"BOB","Hey, ich glaube, da ist es!","2","4"
"JUSTUS","Dead Man's Canyon. Gut aufgepasst, Bob! Wir müssen rechts abbiegen.","2","2"
"PETER","Na endlich. (gähnt) Ich bin echt hundemüde. Könnt ihr mir eigentlich sagen,","2","3"
"PETER","warum das hier ""Dead Man's Canyon"" heißt?","2","3"
"JUSTUS","Dass du dich das erst jetzt fragst, Peter...","2","2"
"PETER","Ich frage es mich schon die ganze Zeit, Erster, ich war mir nur nicht sicher, ob","2","3"
"PETER","ich es wirklich wissen will.","2","3"
"BOB","Also: Im Jahr 1852 war ein gewisser John Dewey hier auf Goldsuche. Er blieb","2","4"
"BOB","aber erfolglos und ließ seinen Unmut darüber an seinen Arbeitern aus.","2","4"
"BOB","Schließlich kam es zur einer Revolte, und er wurde gehängt. Vor seinem Tod","2","4"
"BOB","sprach er den Fluch aus, dass jeder, der seinem Gold zu nahe käme, den Tod","2","4"
"BOB","finden würde.","2","4"
"PETER","Du meine Güte!","2","3"
"BOB","Und seitdem heißt dieser Ort Dead Man's Canyon. Camper hören noch","2","4"
"BOB","heute nachts die Bäume knarren, obwohl gar kein Wind weht. Autos","2","4"
"BOB","kommen von der Straße ab und prallen gegen die Felswand oder rasen in","2","4"
"BOB","den Abgrund. John Deweys Geist hat schon viele Opfer gefordert. Warte","2","4"
"BOB","mal, hier auf dem Handy habe ich ein altes Foto von Dewey. Siehst du?","2","4"
"PETER","(ängstlich) Oh, das ist ja unheimlich!","2","3"
"JUSTUS","BUH, Peter!","2","2"
"PETER","Jaja, Justus, mach dich nur immer schön lustig über mich und meine","2","3"
"PETER","Ängstlichkeit. Aber wisst ihr, dass Angst eine Körperfunktion ist, die einen","2","3"
"PETER","vor Gefahren warnt und deshalb sehr nützlich ist?","2","3"
"JUSTUS","Nützliche Angst ist nützlich. Aber die Angst vor Geistern ist zu gar nichts gut,","2","2"
"JUSTUS","denn es gibt nun mal keine Geister!","2","2"
"PETER","Ach?! Und warum hat Mrs. Kramer uns dann gebeten zu ihr zu kommen?","2","3"
"PETER","Sie hat am Telefon gesagt, dass unheimliche Dinge im Canyon passieren","2","3"
"PETER","würden. Oder? Und außerdem... (Schrei)","2","3"
"REGIE","Bremsen kreischen, Reifen quietschen, Auto kommt zum Stehen.","2","0"
"JUSTUS, PETER & BOB","(Erschrecken)","2","-1"
"PETER","Seid ihr... seid ihr noch da?","2","3"
"BOB","Ja. Ich lebe noch. Knapp!","3","4"
"JUSTUS","(stöhnt) Kopf gestoßen.","3","2"
"PETER","Da... Da war plötzlich was auf der Fahrbahn","3","3"
"BOB","Hä?","3","4"
"PETER","Ja, ein Monster mit vielen Armen! Ich bin da voll hineingefahren!","3","3"
"BOB","Das sehen wir uns mal an. Kommt!","3","4"
"REGIE","Autotüren werden geöffnet und ins Schloss geworfen.","3","0"
"JUSTUS","Aha! Dein Monster war ein großer Kaktus! Aber wieso bist du denn","3","2"
"JUSTUS","überhaupt ins Schlingern geraten, Zweiter?","3","2"
"PETER","Wie jetzt? Soll das heißen, ihr habt ihn nicht gesehen?","3","3"
"BOB","Hä? Wovon sprichst du denn?","3","4"
"PETER","Na, den Mann!","3","3"
"BOB","Den Mann?","3","4"
"PETER","Da war ein Mann!","3","3"
"JUSTUS","Was?","3","2"
"PETER","Klein, weißes Hemd mit Hosenträgern... Ja, der tauchte plötzlich am","3","3"
"PETER","Straßenrand auf, er trug einen Cowboyhut und sah aus wie... wie John","3","3"
"PETER","Dewey!","3","3"
"REGIE","Nachtgeräusche, Hintergrundmusik","3","0"
"BOB","Peter!","3","4"
"PETER","Hier! Der Typ stand genau an dieser Stelle.","3","3"
"JUSTUS","Peter. Ich bin ja überzeugt, dass du etwas gesehen hast, vielleicht einen","3","2"
"JUSTUS","Menschen, vielleicht einen Vogel, aber ganz bestimmt nicht John Dewey!","3","2"
"JUSTUS","Du warst in Gedanken noch...","3","2"
"BOB","(unterbricht) Da kommt ein Auto! Seht ihr?","3","4"
"REGIE","Geräusche eines beschleunigenden Autos. Hupen","3","0"
"PETER","(aufgeregt) Von der Straße weg!","3","3"
"JUSTUS, PETER & BOB","(Laute, Keuchen)","3","-1"
"BOB","Gibt's denn sowas?","3","4"
"JUSTUS","Der hat uns nicht gesehen!","4","2"
"REGIE","Reifen quietschen.","4","0"
"BOB","Kein Wunder in dieser gottverlassenen Gegend. Aber... jetzt hält er an.","4","4"
"REGIE","Autotür wird geschlossen. Schritte","4","0"
"DUSTY KIRKPATRICK","Sniffer, bei Fuß! Komm hierher, Sniffer! Meine Güte, hattet ihr einen Unfall?","4","1463"
"DUSTY KIRKPATRICK","Ist euch was passiert?","4","1463"
"JUSTUS","Guten Abend, Sir! Alles halb so schlimm, wir haben noch mal Glück gehabt.","4","2"
"DUSTY","Was ist denn passiert?","4","-1"
"JUSTUS","Da stand plötzlich etwas auf der Straße.","4","2"
"BOB","Angeblich!","4","4"
"DUSTY","Ojemine, ein Kojote vielleicht? Von denen gibt es einige hier.","4","-1"
"PETER","(ungehalten) Das war kein Kojote, sondern ein Mann!","4","3"
"DUSTY","Ein Mann? Und wo ist er jetzt?","4","-1"
"BOB","Ja...","4","4"
"DUSTY","Vielleicht war es auch etwas ganz anderes. Hier passieren manchmal","4","-1"
"DUSTY","seltsame Dinge... Nicht wahr, Sniffer?","4","-1"
"PETER","Äh...","4","3"
"BOB","Wie bitte?","4","4"
"DUSTY","Sniffer ist auch ein bisschen unruhig. Tiere spüren so etwas. Aber was macht","4","-1"
"DUSTY","ihr Jungs denn überhaupt um diese Zeit hier draußen?","4","-1"
"BOB","Ja, wir, ähm...Wir besuchen jemanden, hier im Canyon.","4","4"
"DUSTY","So? Hier im Canyon wohnt aber niemand außer mir und meinen Freunden.","4","-1"
"JUSTUS","Miranda Kramer.","4","2"
"DUSTY","Ach so, Miranda. Sagt doch das gleich! Sie ist meine Nachbarin, ja, und sie","4","-1"
"DUSTY","hat auch erwähnt, dass sie Besuch bekommt. Aus Rocky Beach, nicht wahr?","4","-1"
"BOB","Ja.","4","4"
"DUSTY","Ich bin Dusty Kirkpatrick. Nennt mich Dusty.","4","-1"
"BOB","Okay, Dusty.","4","4"
"PETER","Freut uns, Dusty!","5","3"
"DUSTY","Ich kann euch den Weg zu Miranda zeigen, wenn ihr wollt.","5","-1"
"JUSTUS","Das wäre sehr nett von ihnen, Dusty!","5","2"
"DUSTY","Gern geschehen. Ich fahre voraus. Komm, Sniffer, bei Fuß!","5","-1"
"REGIE","Auto fährt davon","5","0"
"PETER","Sagt mal, brauche ich eine Brille oder seht ihr auch keinen Hund?","5","3"
"BOB","Ich habe auch keinen Hund gesehen. Und ich hab ne Brille.","5","4"
"PETER","Findet ihr das nicht ein wenig seltsam?","5","3"
"JUSTUS","Doch, finden wir. Aber jetzt kommt!","5","2"
"REGIE","Autotüren werden geschlossen. Geräusch des fahrenden Autos.","5","0"
"REGIE","Musik","5","0"
"REGIE","Ein staubiger Feldweg führte in engen Serpentinen auf einen Bergrücken","5","0"
"REGIE","hinauf. Oben lag ein großes Anwesen. Dusty hielt auf einem kleinen Parkplatz","5","0"
"REGIE","neben einer hohen Bruchsteinmauer und einem schmiedeeisernen Tor.","5","0"
"BOB","Wow, ganz schön nobel!","5","4"
"JUSTUS","Nobel ja, aber Mrs. Kramer wohnt hier gar nicht, wie sie mir am Telefon","5","2"
"JUSTUS","erklärt hat.","5","2"
"DUSTY","Richtig! Miranda lebt dort oben in dem kleinen Häuschen.","5","-1"
"BOB","Ah! Ja, danke, Sir! Und einen schönen Abend noch!","5","4"
"PETER","Ja.","5","3"
"DUSTY","Komm, Sniffer! Na, komm schon, mein Guter!","5","-1"
"JUSTUS","Ähm... Darf ich Sie noch etwas fragen, Dusty?","5","2"
"DUSTY","Aber natürlich, mein Junge!","5","-1"
"JUSTUS","Was haben Sie vorhin damit gemeint, als Sie sagten, dass es auch etwas","5","2"
"JUSTUS","""ganz anderes"" gewesen sein könnte?","5","2"
"DUSTY","Ich meinte... naja, äh... etwas anderes. Kennt ihr denn nicht die Geschichten,","5","-1"
"DUSTY","die sich um Dead Man's Canyon ranken?","5","-1"
"PETER","Sie meinen John Dewey?","5","3"
"DUSTY","Ja! Manchmal treibt er hier sein Unwesen.","5","-1"
"JUSTUS","Haben Sie ihn gesehen?","6","2"
"DUSTY","Nein. Aber Sniffer spürt manchmal seine Anwesenheit. Bis dann!","6","-1"
"BOB","Ja, bis dann.","6","4"
"PETER","Bis dann. (eindringlich zu Justus und Bob) John Dewey.","6","3"
"JUSTUS","Peter! Wenn du jetzt wieder anfängst mit dies...","6","2"
"PETER","(unterbricht) Ich fange mit gar nichts an. Ich wiederhole lediglich, was der","6","3"
"PETER","Mann gesagt hat. Und ich habe einen Mann gesehen, der so aussah wie John","6","3"
"PETER","Dewey! Aber jetzt lasst uns unser Gepäck aus dem Wagen holen und zu Mrs.","6","3"
"PETER","Kramer gehen.","6","3"
"BOB","Einverstanden.","6","4"
"JUSTUS","Ja.","6","2"
"BOB","Sag mal, Peter, könnte es nicht eventuell so gewesen sein, dass es Dusty","6","4"
"BOB","war, den du gesehen hast?","6","4"
"PETER","Nichts zu machen, Bob. Der Mann an der Straße hatte keinen Bart. Und die","6","3"
"PETER","Hose stimmte auch nicht.","6","3"
"BOB","Die Hose stimmte nicht.","6","4"
"PETER","Gib mir mal meinen Koffer.","6","3"
"BOB","Hier!","6","4"
"PETER","So, und jetzt kommt.","6","3"
"REGIE","Nachtgeräusche, Schritte","6","0"
"REGIE","Musik","6","0"
"REGIE","Mrs. Kramer wohnte in einem kleinen Holzhäuschen auf dem Bergkamm.","6","0"
"REGIE","Justus stieg gerade die Stufen zur Eingangstür hinauf, als die Tür aufsprang.","6","0"
"REGIE","Türenquietschen","6","0"
"MIRANDA KRAMER","(erschrickt) Huch! Ihr seid die drei Detektive?","6","1464"
"JUSTUS","Ja, Madam. Ich bin Justus Jonas, und das sind meine Freunde Peter Shaw","6","2"
"JUSTUS","und Bob Andrews.","6","2"
"PETER","Hallo!","6","3"
"BOB","Hi!","6","4"
"MIRANDA","Miranda Kramer, aber nennt mich einfach Miranda.","7","-1"
"JUSTUS, PETER & BOB","Okay.","7","-1"
"MIRANDA","(Seufzen) Endlich seid ihr hier. Kommt rein, kommt rein!","7","-1"
"JUSTUS, PETER & BOB","Danke.","7","-1"
"REGIE","Tür wird geschlossen, Schritte","7","0"
"MIRANDA","Setzt euch da hin.","7","-1"
"PETER","Danke.","7","3"
"BOB","Gemütlich hier!","7","4"
"JUSTUS","Ja. Barclay Ward hat Ihnen von unserem Detektivbüro erzählt, nicht wahr?","7","2"
"MIRANDA","Richtig. Er wohnt dort unten auf dem Anwesen. Anscheinend ist er ein","7","-1"
